conversation_id,use_case,outcome,sender_id,user_message,bot_message,created_time,intent,entities
252,uc_s1,,3646076928739707,"Shop ơi, bên mình còn sẵn xe đẩy này ko ạ? ",,2020-07-13 07:21:28,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/105427190_747746172639669_3655270502832131495_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=u8AUcqoVv4IAX-xfmLS&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=b630d2469ffffa744ee3a83809ddd2f1&oe=5F32DF90,xe_day,"
252,,,3646076928739707,,Sản phẩm Set Xe đẩy & ghế ô tô kiêm nôi xách tay Zaracos Revo 2506 hiện shop đang *còn hàng*. Mời bạn xem thông tin chi tiết sản phẩm tại link sau ạ!,2020-07-13 07:21:30,,
252,,,3646076928739707,,,2020-07-13 07:21:30,,
252,,,3646076928739707,Mình muốn đến xem ạ,,2020-07-13 07:21:38,query_knowledge_base,
252,,,3646076928739707,,Bạn vui lòng bấm vào sản phẩm để xem ảnh và thông tin chi tiết nhé!,2020-07-13 07:21:39,,
252,,,3646076928739707,,,2020-07-13 07:21:39,,
252,,handover_to_inbox,3646076928739707,Bên mình buổi tối mở cửa đến mấy giờ ạ?,,2020-07-13 07:25:21,handover_to_inbox,
252,,,3646076928739707,,"Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",2020-07-13 07:25:22,,
259,uc_s1,,2277432655603314,C ơi bên mình còn xe đẩy v3 k ạ,,2020-07-13 04:08:31,query_knowledge_base,"xe_day,"
259,,,2277432655603314,,Sản phẩm Xe Đẩy hiện shop đang *còn hàng*. Mời bạn xem thông tin chi tiết sản phẩm tại link sau ạ!,2020-07-13 04:08:32,,
259,,,2277432655603314,,,2020-07-13 04:08:32,,
259,,,2277432655603314,"/confirm_attribute_value{""brand"": ""Vovo""}",,2020-07-13 04:13:48,confirm_attribute_value,"Vovo,"
259,,,2277432655603314,,Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!,2020-07-13 04:13:48,,
259,,,2277432655603314,,,2020-07-13 04:13:48,,
259,,,2277432655603314,Cho mình xem các mẫu với ạ,,2020-07-13 04:14:03,query_knowledge_base,
259,,,2277432655603314,,Bạn vui lòng bấm vào sản phẩm để xem ảnh và thông tin chi tiết nhé!,2020-07-13 04:14:04,,
259,,,2277432655603314,,,2020-07-13 04:14:04,,
259,,,2277432655603314,Mình muốn xe để đi du lịch bạn ạ Xe nhỏ kiểu này này bạn ,,2020-07-13 04:14:33,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/106544693_271873744114841_1624343888317698884_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=8DTHKfVW0AsAX8lVpT1&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=27ee4b9062656d11c1f323e1c00d8ba2&oe=5F320E99,xe,nhỏ kiểu này này,"
259,,silence,2277432655603314,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-13 04:14:36,,
259,,,2277432655603314,,,2020-07-13 04:14:36,,
259,,,2277432655603314,,,2020-07-13 04:14:36,,
